workout_id,workout_name,workout_date,exercise_name,set_number,reps,weight_kg,bodyweight_kg,extra_weight_kg,time_sec
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,8,4.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,8,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,8,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,8,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,8,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,8,5.0,75.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,9,5.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,9,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Bench Press,9,3.0,60.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,1,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,1,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,1,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,2,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,2,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,2,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,3,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,3,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Close-Grip Bench Press,3,10.0,0.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,1,4.0,70.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,1,8.0,70.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,1,3.0,72.5,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,1,5.0,72.5,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,2,2.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,2,4.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,2,1.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,2,4.0,87.5,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,3,2.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,3,3.0,105.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,3,1.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,3,3.0,102.5,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,4,2.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,4,4.0,120.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,4,1.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,4,5.0,115.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,5,2.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,5,4.0,120.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,5,1.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,5,5.0,115.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,6,2.0,90.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,6,4.0,120.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Deadlift,6,1.0,90.0,,,
